modelfileversion,model,layer,skew,temperature,width (um),resistance (ohms/um)
4x1r1,rrm8m7c4,m8,prcf,25,0.18,0.326522
4x1r1,rrm8m7c4,m8,prcf,100,0.18,0.394113
4x1r1,rrm8m7c4,m8,prcf,125,0.18,0.416643
4x1r1,rrpfm1,p,prcf,-40,0.04,742.448
4x1r1,rrpfm1,p,prcf,25,0.04,750.497
4x1r1,rrpfm1,p,prcf,100,0.04,759.785
4x1r1,rrpfm1,p,prcf,125,0.04,762.881
4x1r1,rrtcnfm1,tcn,prcf,-40,0.038,26.4038
4x1r1,rrtcnfm1,tcn,prcf,25,0.038,28.7
4x1r1,rrtcnfm1,tcn,prcf,100,0.038,31.3494
4x1r1,rrtcnfm1,tcn,prcf,125,0.038,32.2326
4x1r1,rrgcnfm1,gcn,prcs,-40,0.038,245.096
4x1r1,rrgcnfm1,gcn,prcs,25,0.038,266.633
4x1r1,rrgcnfm1,gcn,prcs,100,0.038,291.483
4x1r1,rrgcnfm1,gcn,prcs,125,0.038,299.766
4x1r1,rrgm0gmzgmb,gm0,prcs,-40,0.54,0.0156814
4x1r1,rrgm0gmzgmb,gm0,prcs,25,0.54,0.0205591
4x1r1,rrgm0gmzgmb,gm0,prcs,100,0.54,0.0261871
4x1r1,rrgm0gmzgmb,gm0,prcs,125,0.54,0.0280631
4x1r1,rrgmbgm0c4,gmb,prcs,-40,1,0.00522033
4x1r1,rrgmbgm0c4,gmb,prcs,25,1,0.00693271
4x1r1,rrgmbgm0c4,gmb,prcs,100,1,0.00890853
4x1r1,rrgmbgm0c4,gmb,prcs,125,1,0.00956714
4x1r1,rrgmzm8gm0,gmz,prcs,-40,0.54,0.0156814
4x1r1,rrgmzm8gm0,gmz,prcs,25,0.54,0.0205591
4x1r1,rrgmzm8gm0,gmz,prcs,100,0.54,0.0261871
4x1r1,rrgmzm8gm0,gmz,prcs,125,0.54,0.0280631
4x1r1,rrm1fm2,m1,prcs,-40,0.044,13.8778
4x1r1,rrm1fm2,m1,prcs,25,0.044,16.0716
4x1r1,rrm1fm2,m1,prcs,100,0.044,18.6028
4x1r1,rrm1fm2,m1,prcs,125,0.044,19.4466
4x1r1,rrm2m1m3,m2,prcs,-40,0.044,14.3047
4x1r1,rrm2m1m3,m2,prcs,25,0.044,16.5659
4x1r1,rrm2m1m3,m2,prcs,100,0.044,19.1751
4x1r1,rrm2m1m3,m2,prcs,125,0.044,20.0448
4x1r1,rrm3m2m4,m3,prcs,-40,0.044,14.3047
4x1r1,rrm3m2m4,m3,prcs,25,0.044,16.5659
4x1r1,rrm3m2m4,m3,prcs,100,0.044,19.1751
4x1r1,rrm3m2m4,m3,prcs,125,0.044,20.0448
4x1r1,rrm4m3m5,m4,prcs,-40,0.044,14.3047
4x1r1,rrm4m3m5,m4,prcs,25,0.044,16.5659
4x1r1,rrm4m3m5,m4,prcs,100,0.044,19.1751
4x1r1,rrm4m3m5,m4,prcs,125,0.044,20.0448
4x1r1,rrm5m4m6,m5,prcs,-40,0.044,14.3047
4x1r1,rrm5m4m6,m5,prcs,25,0.044,16.5659
4x1r1,rrm5m4m6,m5,prcs,100,0.044,19.1751
4x1r1,rrm5m4m6,m5,prcs,125,0.044,20.0448
4x1r1,rrm6m5m7,m6,prcs,-40,0.044,14.3047
4x1r1,rrm6m5m7,m6,prcs,25,0.044,16.5659
4x1r1,rrm6m5m7,m6,prcs,100,0.044,19.1751
4x1r1,rrm6m5m7,m6,prcs,125,0.044,20.0448
4x1r1,rrm7m6m8,m7,prcs,-40,0.18,0.415856
4x1r1,rrm7m6m8,m7,prcs,25,0.18,0.506771
4x1r1,rrm7m6m8,m7,prcs,100,0.18,0.611673
4x1r1,rrm7m6m8,m7,prcs,125,0.18,0.64664
4x1r1,rrm8m7c4,m8,prcs,-40,0.18,0.415856
4x1r1,rrm8m7c4,m8,prcs,25,0.18,0.506771
4x1r1,rrm8m7c4,m8,prcs,100,0.18,0.611673
4x1r1,rrm8m7c4,m8,prcs,125,0.18,0.64664
4x1r1,rrpfm1,p,prcs,-40,0.04,2969.78
4x1r1,rrpfm1,p,prcs,25,0.04,3001.98
4x1r1,rrpfm1,p,prcs,100,0.04,3039.13
4x1r1,rrpfm1,p,prcs,125,0.04,3051.51
4x1r1,rrtcnfm1,tcn,prcs,-40,0.038,105.615
4x1r1,rrtcnfm1,tcn,prcs,25,0.038,114.8
4x1r1,rrtcnfm1,tcn,prcs,100,0.038,125.398
4x1r1,rrtcnfm1,tcn,prcs,125,0.038,128.93
4x1r1,rrgcnfm1,gcn,tttt,-40,0.038,146.882
4x1r1,rrgcnfm1,gcn,tttt,25,0.038,159.788
4x1r1,rrgcnfm1,gcn,tttt,100,0.038,174.68
4x1r1,rrgcnfm1,gcn,tttt,125,0.038,179.644
4x1r1,rrgm0gmzgmb,gm0,tttt,-40,0.54,0.0126374
4x1r1,rrgm0gmzgmb,gm0,tttt,25,0.54,0.0165682
4x1r1,rrgm0gmzgmb,gm0,tttt,100,0.54,0.0211038
4x1r1,rrgm0gmzgmb,gm0,tttt,125,0.54,0.0226157
4x1r1,rrgmbgm0c4,gmb,tttt,-40,1,0.004216
4x1r1,rrgmbgm0c4,gmb,tttt,25,1,0.00559894
4x1r1,rrgmbgm0c4,gmb,tttt,100,1,0.00719463
4x1r1,rrgmbgm0c4,gmb,tttt,125,1,0.00772653
4x1r1,rrgmzm8gm0,gmz,tttt,-40,0.54,0.0126374
4x1r1,rrgmzm8gm0,gmz,tttt,25,0.54,0.0165682
4x1r1,rrgmzm8gm0,gmz,tttt,100,0.54,0.0211038
4x1r1,rrgmzm8gm0,gmz,tttt,125,0.54,0.0226157
4x1r1,rrm1fm2,m1,tttt,-40,0.044,11.8712
4x1r1,rrm1fm2,m1,tttt,25,0.044,13.7477
4x1r1,rrm1fm2,m1,tttt,100,0.044,15.913
4x1r1,rrm1fm2,m1,tttt,125,0.044,16.6347
4x1r1,rrm2m1m3,m2,tttt,-40,0.044,12.1481
4x1r1,rrm2m1m3,m2,tttt,25,0.044,14.0684
4x1r1,rrm2m1m3,m2,tttt,100,0.044,16.2842
4x1r1,rrm2m1m3,m2,tttt,125,0.044,17.0228
4x1r1,rrm3m2m4,m3,tttt,-40,0.044,12.1481
4x1r1,rrm3m2m4,m3,tttt,25,0.044,14.0684
4x1r1,rrm3m2m4,m3,tttt,100,0.044,16.2842
4x1r1,rrm3m2m4,m3,tttt,125,0.044,17.0228
4x1r1,rrm4m3m5,m4,tttt,-40,0.044,12.1481
4x1r1,rrm4m3m5,m4,tttt,25,0.044,14.0684
4x1r1,rrm4m3m5,m4,tttt,100,0.044,16.2842
4x1r1,rrm4m3m5,m4,tttt,125,0.044,17.0228
4x1r1,rrm5m4m6,m5,tttt,-40,0.044,12.1481
4x1r1,rrm5m4m6,m5,tttt,25,0.044,14.0684
4x1r1,rrm5m4m6,m5,tttt,100,0.044,16.2842
4x1r1,rrm5m4m6,m5,tttt,125,0.044,17.0228
4x1r1,rrm6m5m7,m6,tttt,-40,0.044,12.1481
4x1r1,rrm6m5m7,m6,tttt,25,0.044,14.0684
4x1r1,rrm6m5m7,m6,tttt,100,0.044,16.2842
4x1r1,rrm6m5m7,m6,tttt,125,0.044,17.0228
4x1r1,rrm7m6m8,m7,tttt,-40,0.18,0.329797
4x1r1,rrm7m6m8,m7,tttt,25,0.18,0.401897
4x1r1,rrm7m6m8,m7,tttt,100,0.18,0.48509
4x1r1,rrm7m6m8,m7,tttt,125,0.18,0.512821
4x1r1,rrm8m7c4,m8,tttt,-40,0.18,0.329797
4x1r1,rrm8m7c4,m8,tttt,25,0.18,0.401897
4x1r1,rrm8m7c4,m8,tttt,100,0.18,0.48509
4x1r1,rrm8m7c4,m8,tttt,125,0.18,0.512821
4x1r1,rrpfm1,p,tttt,-40,0.04,1484.89
4x1r1,rrpfm1,p,tttt,25,0.04,1500.99
4x1r1,rrpfm1,p,tttt,100,0.04,1519.56
4x1r1,rrpfm1,p,tttt,125,0.04,1525.76
4x1r1,rrtcnfm1,tcn,tttt,-40,0.038,52.8077
4x1r1,rrtcnfm1,tcn,tttt,25,0.038,57.4
4x1r1,rrtcnfm1,tcn,tttt,100,0.038,62.6989
4x1r1,rrtcnfm1,tcn,tttt,125,0.038,64.4651
4x1r1,rrgcnfm1,gcn,pcff,-40,0.038,48.667
4x1r1,rrgcnfm1,gcn,pcff,25,0.038,52.9434
4x1r1,rrgcnfm1,gcn,pcff,100,0.038,57.8777
4x1r1,rrgcnfm1,gcn,pcff,125,0.038,59.5224
4x1r1,rrgm0gmzgmb,gm0,pcff,-40,0.54,0.0156814
4x1r1,rrgm0gmzgmb,gm0,pcff,25,0.54,0.0205591
4x1r1,rrgm0gmzgmb,gm0,pcff,100,0.54,0.0261871
4x1r1,rrgm0gmzgmb,gm0,pcff,125,0.54,0.0280631
4x1r1,rrgmbgm0c4,gmb,pcff,-40,1,0.00522033
4x1r1,rrgmbgm0c4,gmb,pcff,25,1,0.00693271
4x1r1,rrgmbgm0c4,gmb,pcff,100,1,0.00890853
4x1r1,rrgmbgm0c4,gmb,pcff,125,1,0.00956714
4x1r1,rrgmzm8gm0,gmz,pcff,-40,0.54,0.0156814
4x1r1,rrgmzm8gm0,gmz,pcff,25,0.54,0.0205591
4x1r1,rrgmzm8gm0,gmz,pcff,100,0.54,0.0261871
4x1r1,rrgmzm8gm0,gmz,pcff,125,0.54,0.0280631
4x1r1,rrm1fm2,m1,pcff,-40,0.044,13.8778
4x1r1,rrm1fm2,m1,pcff,25,0.044,16.0716
4x1r1,rrm1fm2,m1,pcff,100,0.044,18.6028
4x1r1,rrm1fm2,m1,pcff,125,0.044,19.4466
4x1r1,rrm2m1m3,m2,pcff,-40,0.044,14.3047
4x1r1,rrm2m1m3,m2,pcff,25,0.044,16.5659
4x1r1,rrm2m1m3,m2,pcff,100,0.044,19.1751
4x1r1,rrm2m1m3,m2,pcff,125,0.044,20.0448
4x1r1,rrm3m2m4,m3,pcff,-40,0.044,14.3047
